Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
457,Scott Laughton,20,PHI,C,31,2,4,6,-1,17,2,0,0,0,3,1,0,51,3.9,394,12:43
458,Oliver Lauridsen,25,PHI,D,1,0,0,0,-1,10,0,0,0,0,0,0,0,2,0.0,10,10:26
459,Curtis Lazar,19,OTT,C,67,6,9,15,1,14,6,0,0,0,9,0,0,92,6.5,864,12:54
460,Vincent Lecavalier,34,PHI,C,57,8,12,20,-7,36,7,1,0,0,9,3,0,103,7.8,721,12:39
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
461,Nick Leddy,23,NYI,D,78,10,27,37,18,14,9,1,0,1,15,11,1,120,8.3,1588,20:22
462,Anders Lee,24,NYI,C,76,25,16,41,9,33,20,5,0,6,15,1,0,197,12.7,1094,14:24
463,David Legwand,34,OTT,C,80,9,18,27,1,32,3,6,0,0,10,6,2,91,9.9,1112,13:54
464,Jori Lehtera,27,STL,C,75,14,30,44,21,48,11,2,1,2,24,5,1,103,13.6,1216,16:13
465,Josh Leivo,21,TOR,LW,9,1,0,1,-1,4,1,0,0,0,0,0,0,10,10.0,69,7:39
466,Jordan Leopold,34,TOT,D,43,1,3,4,-6,19,0,1,0,0,3,0,0,39,2.6,642,14:55
467,Bryan Lerg,29,SJS,C,2,1,0,1,-1,0,1,0,0,1,0,0,0,8,12.5,25,12:36
468,Lucas Lessio,22,ARI,LW,26,2,3,5,-10,8,2,0,0,0,3,0,0,44,4.5,332,12:45
469,Kris Letang,27,PIT,D,69,11,43,54,12,79,8,2,1,1,21,22,0,197,5.6,1759,25:29
470,Mark Letestu,29,CBJ,C,54,7,6,13,-9,0,6,0,1,1,5,1,0,63,11.1,720,13:20
471,Trevor Lewis,28,LAK,C,73,9,16,25,8,14,8,0,1,2,16,0,0,143,6.3,1030,14:06
472,John-Michael Liles,34,CAR,D,57,2,20,22,-9,14,2,0,0,0,13,7,0,90,2.2,1091,19:09
473,Oscar Lindberg,23,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,8,8:18
474,Matt Lindblad,24,BOS,C,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,7:46
475,Petteri Lindbohm,21,STL,D,23,2,1,3,-1,26,2,0,0,0,1,0,0,32,6.3,358,15:34
476,Elias Lindholm,20,CAR,C,81,17,22,39,-23,14,13,4,0,4,11,11,0,170,10.0,1330,16:25
477,Hampus Lindholm,21,ANA,D,78,7,27,34,25,32,7,0,0,1,21,6,0,107,6.5,1697,21:46
478,Joakim Lindstrom,31,TOT,C,53,4,6,10,-15,12,2,2,0,0,3,3,0,61,6.6,576,10:53
479,Bryan Little,27,WPG,C,70,24,28,52,8,24,14,9,1,3,19,9,0,148,16.2,1394,19:55
480,Ben Lovejoy,30,TOT,D,60,2,12,14,-4,25,2,0,0,0,10,0,2,86,2.3,1166,19:26
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
481,Keegan Lowe,21,CAR,D,2,0,0,0,-2,10,0,0,0,0,0,0,0,0,,28,13:51
482,Adam Lowry,21,WPG,LW,80,11,12,23,1,46,10,0,1,2,9,3,0,104,10.6,1100,13:45
483,Milan Lucic,26,BOS,LW,81,18,26,44,13,81,16,2,0,4,20,6,0,141,12.8,1325,16:21
484,Joffrey Lupul,31,TOR,LW,55,10,11,21,-10,26,8,2,0,1,10,1,0,97,10.3,852,15:29
485,Olli Maatta,20,PIT,D,20,1,8,9,1,10,1,0,0,0,6,2,0,27,3.7,414,20:43
486,Clarke MacArthur,29,OTT,LW,62,16,20,36,-6,36,10,6,0,5,16,4,0,140,11.4,1054,17:00
487,Andrew MacDonald,28,PHI,D,58,2,10,12,-5,41,1,1,0,0,6,4,0,62,3.2,1161,20:01
488,Derek MacKenzie,33,FLA,C,82,5,6,11,-17,45,4,1,0,0,6,0,0,72,6.9,1021,12:27
489,Nathan MacKinnon,19,COL,C,64,14,24,38,-7,34,11,3,0,2,20,4,0,192,7.3,1091,17:03
490,Andrew MacWilliam,24,TOR,D,12,0,2,2,-6,12,0,0,0,0,2,0,0,5,0.0,185,15:24
491,Manny Malhotra,34,MTL,C,58,1,3,4,-6,12,1,0,0,1,3,0,0,46,2.2,629,10:51
492,Evgeni Malkin,28,PIT,C,69,28,42,70,-2,60,19,9,0,4,25,17,0,212,13.2,1309,18:58
493,Brad Malone,25,CAR,C,65,7,8,15,-8,74,7,0,0,2,8,0,0,65,10.8,660,10:09
