Champion,RunnerUp,ConferenceElim,SemiElim,QuarterElim,TOI 5v5,TOI 5v4,TOI 5v3,TOI 4v5,TOI 4v4,TOI 4v3,TOI 3v5,TOI 3v4,TOI 3v3,5v5 TOI Tot,5v5 GF,5v5 GA,5v5 GF/60,5v5 SF/60,5v5 Sh%,5v5 GA/60,5v5 SA/60,5v5 Sv%,5v5 +-per60,5v4 TOI Tot,5v4 GF,5v4 GA,5v4 GF/60,5v4 SF/60,5v4 Sh%,5v4 GA/60,5v4 SA/60,5v4 Sv%,5v4 +-per60,4v5 TOI Tot,4v5 GF,4v5 GA,4v5 GF/60,4v5 SF/60,4v5 Sh%,4v5 GA/60,4v5 SA/60,4v5 Sv%,4v5 +-per60
0,0,0,1,0,45.9,6.5,0.1,6,2.2,0.1,0.2,0.1,0,3760.9,175,156,2.8,31.3,911,2.5,28.7,913,0.3,532.1,60,8,6.8,51,867,0.9,7.8,884,5.9,488.6,6,50,0.7,11.8,938,6.1,40.2,847,-5.4
0,0,0,1,0,49,4.7,0.1,5.2,1.5,0.1,0.1,0.1,0,4020.5,161,158,2.4,27.9,914,2.4,29.3,920,0,386.6,36,10,5.6,47.5,882,1.6,10.4,851,4,425,3,46,0.4,6.2,932,6.5,49.4,869,-6.1
0,0,0,1,0,48.4,5.1,0.1,5.3,2.1,0.1,0.2,0.1,0,3968,139,145,2.1,30.6,931,2.2,28.3,923,-0.1,416.3,39,4,5.6,49.7,887,0.6,11,947,5,435.3,6,33,0.8,11.6,929,4.5,49.5,908,-3.7
0,0,0,1,0,45.6,6.2,0.1,6.4,2.3,0.1,0.2,0,0,3737.9,178,170,2.9,32.1,911,2.7,28.3,903,0.1,507.5,51,8,6,53.7,888,0.9,8.3,886,5.1,523.7,7,45,0.8,10.2,921,5.2,46.7,890,-4.4
0,0,0,1,0,47.5,5.9,0.1,5.3,2,0.1,0.1,0,0,3897.3,149,155,2.3,32,928,2.4,29,918,-0.1,485.8,53,1,6.5,58.4,888,0.1,7.8,984,6.4,435.1,8,40,1.1,9.7,886,5.5,50.7,891,-4.4
0,0,0,1,0,46.2,5.9,0.2,6.2,1.8,0.1,0.1,0,0,3790.1,186,148,2.9,30.2,902,2.3,29,919,0.6,481.1,59,6,7.4,54.6,865,0.7,9.7,923,6.6,508.3,8,55,0.9,8.1,884,6.5,48.4,866,-5.5
0,0,1,0,0,47.2,5.6,0.1,5.8,1.8,0.1,0.1,0.1,0,3873.3,144,143,2.2,27.7,919,2.2,30.6,928,0,462.9,43,8,5.6,48.2,884,1,10.4,900,4.5,479.4,5,39,0.6,9.5,934,4.9,47.7,898,-4.3
0,0,1,0,0,49.3,4.9,0.2,4.7,1.7,0,0.1,0,0,4044.9,195,153,2.9,32.9,912,2.3,26.2,913,0.6,403.8,45,6,6.7,50.8,868,0.9,8.5,895,5.8,388.7,9,40,1.4,7.9,824,6.2,49.5,875,-4.8
0,0,1,0,0,46.3,6.2,0.2,5.9,2.1,0.1,0.2,0.1,0,3799.1,166,160,2.6,31.5,917,2.5,27.3,908,0.1,511.7,52,16,6.1,50,878,1.9,11.8,842,4.2,480.2,1,40,0.1,6.6,981,5,46,891,-4.9
0,0,1,0,0,48.3,5.3,0.2,5.2,1.7,0.1,0.1,0.1,0,3961.4,161,138,2.4,32,924,2.1,28.1,926,0.3,433.8,60,7,8.3,72.6,886,1,7.5,870,7.3,422.8,6,50,0.9,9.6,912,7.1,52.5,865,-6.2
0,0,1,0,0,48.1,5.3,0.2,5.2,1.9,0.1,0.1,0.2,0,3944.4,160,139,2.4,27.8,912,2.1,27.6,923,0.3,437.9,38,4,5.2,43.6,881,0.5,7.7,929,4.7,423.6,8,34,1.1,9.9,886,4.8,46.6,897,-3.7
0,0,1,0,0,49,5,0.1,4.9,1.9,0.1,0.1,0,0,4016.6,166,147,2.5,29.8,917,2.2,31.2,930,0.3,407.3,30,6,4.4,40.4,891,0.9,8.1,891,3.5,400.8,6,33,0.9,8.1,889,4.9,55.2,911,-4
0,0,1,0,0,46.4,5.8,0.1,6.1,2.2,0.1,0.2,0.2,0,3804.2,176,138,2.8,30.4,909,2.2,30.3,928,0.6,471.8,63,9,8,61.2,869,1.1,9.7,882,6.9,500.5,8,45,1,7.9,879,5.4,52,896,-4.4
0,0,1,0,0,47.8,4.8,0.2,5.9,2,0.1,0.2,0.2,0,3920.7,138,152,2.1,26.9,921,2.3,31,925,-0.2,395,53,7,8.1,57,859,1.1,10.5,899,7,482.4,4,44,0.5,10.3,952,5.5,47.5,885,-5
0,1,0,0,0,48.8,5.2,0.1,4.5,1.7,0.1,0.1,0.1,0,4000.4,148,139,2.2,32.4,932,2.1,29,928,0.1,423,42,7,6,55.7,893,1,9.2,892,5,371.3,10,31,1.6,8.7,815,5,50.6,901,-3.4
0,1,0,0,0,47.3,5.4,0.1,6,1.5,0.1,0.2,0.2,0,3881.5,175,128,2.7,31.3,913,2,29.3,932,0.7,444.4,69,2,9.3,56,834,0.3,7.7,965,9,494.1,6,39,0.7,9.4,922,4.7,50.2,906,-4
0,1,0,0,0,48.7,5.1,0.1,5.2,1.7,0.1,0.1,0.1,0,3992.8,149,159,2.2,26.2,915,2.4,26.3,909,-0.2,420.6,39,11,5.6,45.2,877,1.6,9.4,833,4,423.1,15,24,2.1,12.8,833,3.4,42.7,920,-1.3
0,1,0,0,0,45.6,6.1,0.1,6.4,2.1,0,0.2,0.1,0,3737.2,148,150,2.4,30.8,923,2.4,29,917,0,497.5,63,8,7.6,56.8,866,1,7,862,6.6,521.8,6,54,0.7,8.9,922,6.2,43.6,858,-5.5
1,0,0,0,0,47.2,5.8,0.1,5.7,1.8,0.2,0.1,0.2,0,3868.8,142,109,2.2,31.5,930,1.7,25.2,933,0.5,473.6,39,6,4.9,51.8,905,0.8,7.1,893,4.2,470.1,5,48,0.6,7.4,914,6.1,49.3,876,-5.5
1,0,0,0,0,48.5,5.3,0.1,5.1,1.3,0,0.2,0.1,0,3981.1,188,133,2.8,32.4,913,2,32.1,937,0.8,437.8,36,5,4.9,50.7,903,0.7,11.8,942,4.2,419.4,11,41,1.6,12.7,876,5.9,52.9,889,-4.3
1,0,0,0,0,47.1,5.5,0.2,6,2.1,0.2,0.1,0.1,0,3858.3,127,122,2,30.7,936,1.9,26.4,928,0.1,450.6,38,2,5.1,45.1,888,0.3,6.3,957,4.8,488.8,9,34,1.1,6.6,833,4.2,49.1,915,-3.1
1,0,0,0,0,47.8,5.5,0.2,5.1,2.2,0.1,0.2,0,0,3922.7,181,154,2.8,33.2,917,2.4,24,902,0.4,448,50,4,6.7,52.1,871,0.5,5.1,895,6.2,418.9,13,33,1.9,11.2,833,4.7,48,901,-2.9
